question,answer_llm,answer_orig,document
Can I still join the course if I found it late?,"Yes, you can still join the course if you found it late. However, if you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to start this course now?,"You can start whenever you want. The videos, GitHub materials, and homework are available, and the deadlines are listed on the course platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, can I still get a certificate?",Yes — but only if you join while the course is still running and submit your project while submissions are still open. You need to finish the course with the live cohort to get a certificate.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I have to submit my project before submissions close to get certified?,"Yes. To get certified, you need to submit your capstone project while submissions are still open. If the submission form is already closed, you can no longer submit, and there are no late submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to receive the course certificate if I join late?,"To receive the certificate, you need to:

- **Submit your project while the course is still accepting submissions**
- **Finish the course with the live cohort** — certificates are **not** awarded for self-paced participation
- **Peer-review 3 capstones** after submitting your project, since that’s required for the certificate

If you join late, you can still participate, but you must make sure you complete everything while the course is still running.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp—when should I expect a confirmation email?,"You don’t need to սպասեք a confirmation email — you’re accepted already. Registration is just to gauge interest, and it’s not checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for any acceptance email before I start the course and submit homework?,"No, you don’t need to wait for any acceptance or confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there an actual registered list for the LLM Zoomcamp, or can anyone just begin while the form is open?",You can just begin while the form is open. There isn’t an actual registered list checked against for the course. Registration is only to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the course if it isn’t checked against a list?,"Registration is just to gauge interest before the start date. You don’t need a confirmation or a checked list to take the course, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the signup form, does that mean I’m already accepted into the LLM Zoomcamp?","Yes — filling out the signup form means you’re accepted. Registration is just to gauge interest, and you can start learning and submitting homework even without waiting for a confirmation email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
