question,document
Can I still join the course if I found it late?,74eb249bbf
Is it too late to start this course now?,74eb249bbf
"If I join after the course has already started, can I still get a certificate?",74eb249bbf
Do I have to submit my project before submissions close to get certified?,74eb249bbf
What do I need to do to receive the course certificate if I join late?,74eb249bbf
I registered for the LLM Zoomcamp—when should I expect a confirmation email?,977bf7786c
Do I need to wait for any acceptance email before I start the course and submit homework?,977bf7786c
"Is there an actual registered list for the LLM Zoomcamp, or can anyone just begin while the form is open?",977bf7786c
What’s the point of registering for the course if it isn’t checked against a list?,977bf7786c
"If I filled out the signup form, does that mean I’m already accepted into the LLM Zoomcamp?",977bf7786c
How do students join the office hours or live workshop stream if the Zoom link isn't public?,489dd1c9d9
Where is the live video link for office hours usually announced before the session starts?,489dd1c9d9
"Can I watch the workshop live on YouTube, or do I need the Zoom link?",489dd1c9d9
"If I have a question during the live session, where should I send it instead of posting in chat?",489dd1c9d9
Who is allowed to see the Zoom link for office hours and workshop sessions?,489dd1c9d9
How do I begin the LLM Zoomcamp course and what should I check first?,04919992b3
What's the usual weekly routine for this course after I watch the lectures?,04919992b3
"Where do I find the videos, notebooks, homework instructions, and deadlines?",04919992b3
"Can I start the course any time, or is there a fixed start date?",04919992b3
"Is the homework basically the same as the lesson work, or is it different?",04919992b3
I can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0
What name shows up for me on the leaderboard by default?,c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
Can I change the nickname that appears on the leaderboard or in public?,c2903069a0
What name should I put in my profile if I want my certificate to show my real name instead of the random one?,c2903069a0
"Can I take the course on my own schedule and still get a certificate, or is that only for the live cohort?",69d122f12e
"If I finish the materials in self-paced mode, do I get any certificate at the end?",69d122f12e
Why isn’t there a certificate for people who study the course after the cohort is over?,69d122f12e
Do I need to be in the live class to do the required peer reviews for the capstone project?,69d122f12e
"Once the course form is closed, is it still possible to review other students’ projects and qualify for a certificate?",69d122f12e
I missed the first homework assignment — can I still get the certificate if I do the capstone?,9f689c185f
"Do I have to complete all the homework to receive the course certificate, or is the final project enough?",9f689c185f
"If I skip the homework but pass the Capstone project, am I still eligible for the certificate?",9f689c185f
"Are homework submissions required for certification in this course, or are they only for practice and leaderboard points?",9f689c185f
"Does missing one homework affect my chance of getting the certificate, or is the capstone the only requirement?",9f689c185f
Why does this homework keep changing every time I check it?,96286b4be4
How do I know when a homework assignment is actually ready and not still being edited?,96286b4be4
"If I see [DRAFT] in the homework title, does that mean I shouldn’t submit or start it yet?",96286b4be4
Can the homework details change even after the form is already on the course platform?,96286b4be4
"Is it safe to work on homework early, or could the final version end up different?",96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know what term or year the course is scheduled for next?,bd31146b0e
When can students expect the course to be offered again?,bd31146b0e
"Is there a planned next offering of the course, and when is it?",bd31146b0e
What’s the next course session date or term?,bd31146b0e
Where can I find the course videos or lecture links for each lesson?,31456f4b5f
Is there a main page or repo I should open first to get to the videos?,31456f4b5f
Do the lesson folders in the GitHub repo include the lecture videos at the top of each page?,31456f4b5f
Should I use the GitHub repo instead of the YouTube playlist when looking for updated lesson links?,31456f4b5f
I can’t find the lectures — what’s the best place to start in the LLM Zoomcamp materials?,31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and keep track of deadlines and homework?,20c5a1347e
Is there a course platform for checking my progress in LLM Zoomcamp?,20c5a1347e
How can I find the current cohort structure and all the homework in one place?,20c5a1347e
What's the official site for following LLM Zoomcamp deadlines and progress?,20c5a1347e
Do I need a special platform to track assignments and deadlines in this Zoomcamp?,20c5a1347e
"Do you have live classes or office hours for every module in the course, or is everything mostly pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help—Slack or somewhere else?",d65e05bd7a
"Are live sessions part of the regular course schedule, or do they only happen sometimes?",d65e05bd7a
Is there any extra paid support with Zoom office hours if I want more guidance?,d65e05bd7a
"Where can I find the module materials, and are they available without waiting for live sessions?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Are Bluesky updates accepted for the learning in public requirement?,dbf5369006
Does posting on Bluesky qualify for learning in public credits?,dbf5369006
Can I use Bluesky activity as evidence for public learning credits?,dbf5369006
Is Bluesky okay to submit for learning in public points?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Is there an official Telegram channel for this course?,054f3fd58f
Can you share the Telegram group for LLM Zoomcamp announcements?,054f3fd58f
Where should I go for announcements vs technical questions in LLM Zoomcamp?,054f3fd58f
Why doesn’t the FAQ dataset have the same number of records as in the course videos?,e2d595f23c
Is it normal if my FAQ data count is different from what’s shown in the recording?,e2d595f23c
